id,year_month,healthboard,department_type,attendance_greater8hrs,attendance_greater12hrs,diff_between_target_met_agg,diff_between_target_met_ep
15532,2020 Feb,NHS Greater Glasgow and Clyde,Emergency Department,412,61,2449,2449
15533,2020 Feb,NHS Greater Glasgow and Clyde,Emergency Department,1,0,82,82
15534,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15535,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
15536,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,7,NA
15537,2020 Feb,NHS Highland,Emergency Department,1,0,16,16
15538,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,5,NA
15539,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
15540,2020 Feb,NHS Highland,Emergency Department,3,1,23,23
15541,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15542,2020 Feb,NHS Highland,Emergency Department,28,2,335,335
15543,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15544,2020 Feb,NHS Highland,Emergency Department,4,0,40,40
15545,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
15546,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15547,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15548,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
15549,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15550,2020 Feb,NHS Highland,Minor Injury Unit or Other,NA,NA,2,NA
15551,2020 Feb,NHS Lanarkshire,Emergency Department,38,6,525,525
15552,2020 Feb,NHS Lanarkshire,Minor Injury Unit or Other,0,0,0,0
15553,2020 Feb,NHS Lanarkshire,Minor Injury Unit or Other,0,0,0,0
15554,2020 Feb,NHS Lanarkshire,Minor Injury Unit or Other,0,0,0,0
15555,2020 Feb,NHS Lanarkshire,Minor Injury Unit or Other,0,0,0,0
15556,2020 Feb,NHS Lanarkshire,Emergency Department,180,57,940,940
15557,2020 Feb,NHS Lanarkshire,Emergency Department,180,57,940,940
15558,2020 Feb,NHS Lanarkshire,Emergency Department,148,30,913,913
15559,2020 Feb,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
15560,2020 Feb,NHS Lothian,Minor Injury Unit or Other,280,140,950,950
15561,2020 Feb,NHS Lothian,Emergency Department,140,45,594,594
15562,2020 Feb,NHS Lothian,Emergency Department,617,269,2247,2247
15563,2020 Feb,NHS Lothian,Emergency Department,2,0,111,111
15564,2020 Feb,NHS Orkney,Emergency Department,3,0,33,33
15565,2020 Feb,NHS Shetland,Emergency Department,2,1,45,45
15566,2020 Feb,NHS Tayside,Emergency Department,1,1,142,142
15567,2020 Feb,NHS Tayside,Emergency Department,1,1,142,142
15568,2020 Feb,NHS Tayside,Emergency Department,2,0,45,45
15569,2020 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15570,2020 Feb,NHS Tayside,Minor Injury Unit or Other,1,0,1,1
15571,2020 Feb,NHS Tayside,Minor Injury Unit or Other,1,0,1,1
15572,2020 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15573,2020 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15574,2020 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15575,2020 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15576,2020 Feb,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15577,2020 Feb,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
15578,2020 Feb,NHS Western Isles,Emergency Department,0,0,6,6
15579,2020 Feb,NHS Western Isles,Minor Injury Unit or Other,0,0,3,3
15580,2020 Mar,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,2,NA
15581,2020 Mar,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,4,NA
15582,2020 Mar,NHS Ayrshire and Arran,Emergency Department,130,67,381,381
15583,2020 Mar,NHS Ayrshire and Arran,Emergency Department,228,124,545,545
15584,2020 Mar,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
15585,2020 Mar,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
15586,2020 Mar,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
15587,2020 Mar,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
15588,2020 Mar,NHS Borders,Minor Injury Unit or Other,NA,NA,0,NA
15589,2020 Mar,NHS Borders,Emergency Department,41,17,269,269
15590,2020 Mar,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
15591,2020 Mar,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
15592,2020 Mar,NHS Dumfries and Galloway,Minor Injury Unit or Other,NA,NA,0,NA
15593,2020 Mar,NHS Dumfries and Galloway,Minor Injury Unit or Other,0,0,0,0
15594,2020 Mar,NHS Dumfries and Galloway,Emergency Department,21,3,104,104
15595,2020 Mar,NHS Dumfries and Galloway,Emergency Department,51,13,246,246
15596,2020 Mar,NHS Fife,Emergency Department,18,0,468,468
15597,2020 Mar,NHS Fife,Minor Injury Unit or Other,0,0,0,0
15598,2020 Mar,NHS Fife,Minor Injury Unit or Other,0,0,0,0
15599,2020 Mar,NHS Fife,Minor Injury Unit or Other,0,0,1,1
15600,2020 Mar,NHS Forth Valley,Minor Injury Unit or Other,0,0,2,2
15601,2020 Mar,NHS Forth Valley,Emergency Department,21,10,382,382
15602,2020 Mar,NHS Grampian,Emergency Department,36,0,598,598
15603,2020 Mar,NHS Grampian,Emergency Department,0,0,15,15
15604,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15605,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15606,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,2,NA
15607,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15608,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15609,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15610,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
15611,2020 Mar,NHS Grampian,Emergency Department,7,1,127,127
15612,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15613,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15614,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15615,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15616,2020 Mar,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15617,2020 Mar,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,3,1,50,50
15618,2020 Mar,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,3,1,50,50
15619,2020 Mar,NHS Greater Glasgow and Clyde,Emergency Department,20,5,209,209
15620,2020 Mar,NHS Greater Glasgow and Clyde,Emergency Department,20,5,209,209
15621,2020 Mar,NHS Greater Glasgow and Clyde,Emergency Department,79,6,547,547
15622,2020 Mar,NHS Greater Glasgow and Clyde,Emergency Department,79,6,547,547
15623,2020 Mar,NHS Greater Glasgow and Clyde,Emergency Department,56,5,724,724
15624,2020 Mar,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,1,0,13,13
15625,2020 Mar,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,4,4
15626,2020 Mar,NHS Greater Glasgow and Clyde,Emergency Department,78,6,1400,1400
15627,2020 Mar,NHS Greater Glasgow and Clyde,Emergency Department,0,0,103,103
15628,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15629,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15630,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,6,NA
15631,2020 Mar,NHS Highland,Emergency Department,3,0,19,19
15632,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,5,NA
15633,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15634,2020 Mar,NHS Highland,Emergency Department,4,2,27,27
15635,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15636,2020 Mar,NHS Highland,Emergency Department,20,0,256,256
15637,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15638,2020 Mar,NHS Highland,Emergency Department,1,0,22,22
15639,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15640,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15641,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15642,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
15643,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15644,2020 Mar,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
15645,2020 Mar,NHS Lanarkshire,Emergency Department,29,4,375,375
15646,2020 Mar,NHS Lanarkshire,Minor Injury Unit or Other,0,0,0,0
15647,2020 Mar,NHS Lanarkshire,Minor Injury Unit or Other,0,0,0,0
15648,2020 Mar,NHS Lanarkshire,Minor Injury Unit or Other,0,0,0,0
15649,2020 Mar,NHS Lanarkshire,Minor Injury Unit or Other,0,0,0,0
15650,2020 Mar,NHS Lanarkshire,Emergency Department,113,45,727,727
15651,2020 Mar,NHS Lanarkshire,Emergency Department,113,45,727,727
15652,2020 Mar,NHS Lanarkshire,Emergency Department,115,18,622,622
15653,2020 Mar,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
15654,2020 Mar,NHS Lothian,Minor Injury Unit or Other,64,41,428,428
15655,2020 Mar,NHS Lothian,Emergency Department,53,13,392,392
15656,2020 Mar,NHS Lothian,Emergency Department,311,97,1509,1509
15657,2020 Mar,NHS Lothian,Emergency Department,0,0,61,61
15658,2020 Mar,NHS Orkney,Emergency Department,0,0,21,21
15659,2020 Mar,NHS Shetland,Emergency Department,2,0,41,41
15660,2020 Mar,NHS Tayside,Emergency Department,2,0,92,92
15661,2020 Mar,NHS Tayside,Emergency Department,2,0,92,92
15662,2020 Mar,NHS Tayside,Emergency Department,4,0,72,72
15663,2020 Mar,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
15664,2020 Mar,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15665,2020 Mar,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15666,2020 Mar,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15667,2020 Mar,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
15668,2020 Mar,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
15669,2020 Mar,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15670,2020 Mar,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15671,2020 Mar,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
15672,2020 Mar,NHS Western Isles,Emergency Department,1,0,7,7
15673,2020 Mar,NHS Western Isles,Minor Injury Unit or Other,0,0,1,1
15674,2020 Apr,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,2,NA
15675,2020 Apr,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
15676,2020 Apr,NHS Ayrshire and Arran,Emergency Department,4,0,62,62
15677,2020 Apr,NHS Ayrshire and Arran,Emergency Department,11,0,139,139
15678,2020 Apr,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
15679,2020 Apr,NHS Borders,Emergency Department,3,0,158,158
15680,2020 Apr,NHS Dumfries and Galloway,Emergency Department,3,0,58,58
15681,2020 Apr,NHS Dumfries and Galloway,Emergency Department,1,0,67,67
15682,2020 Apr,NHS Fife,Emergency Department,2,0,108,108
15683,2020 Apr,NHS Fife,Minor Injury Unit or Other,0,0,0,0
15684,2020 Apr,NHS Fife,Minor Injury Unit or Other,0,0,0,0
15685,2020 Apr,NHS Fife,Minor Injury Unit or Other,0,0,0,0
15686,2020 Apr,NHS Forth Valley,Minor Injury Unit or Other,0,0,3,3
15687,2020 Apr,NHS Forth Valley,Emergency Department,3,1,101,101
15688,2020 Apr,NHS Grampian,Emergency Department,14,0,300,300
15689,2020 Apr,NHS Grampian,Emergency Department,0,0,8,8
15690,2020 Apr,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
15691,2020 Apr,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15692,2020 Apr,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
15693,2020 Apr,NHS Grampian,Emergency Department,3,0,88,88
15694,2020 Apr,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15695,2020 Apr,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15696,2020 Apr,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15697,2020 Apr,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,7,7
15698,2020 Apr,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,7,7
15699,2020 Apr,NHS Greater Glasgow and Clyde,Emergency Department,3,0,55,55
15700,2020 Apr,NHS Greater Glasgow and Clyde,Emergency Department,3,0,55,55
15701,2020 Apr,NHS Greater Glasgow and Clyde,Emergency Department,15,1,124,124
15702,2020 Apr,NHS Greater Glasgow and Clyde,Emergency Department,15,1,124,124
15703,2020 Apr,NHS Greater Glasgow and Clyde,Emergency Department,8,0,303,303
15704,2020 Apr,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,0,0
15705,2020 Apr,NHS Greater Glasgow and Clyde,Emergency Department,14,0,429,429
15706,2020 Apr,NHS Greater Glasgow and Clyde,Emergency Department,0,0,24,24
15707,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15708,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
15709,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15710,2020 Apr,NHS Highland,Emergency Department,1,1,18,18
15711,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
15712,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15713,2020 Apr,NHS Highland,Emergency Department,0,0,22,22
15714,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15715,2020 Apr,NHS Highland,Emergency Department,2,0,55,55
15716,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15717,2020 Apr,NHS Highland,Emergency Department,0,0,4,4
15718,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
15719,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15720,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15721,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15722,2020 Apr,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15723,2020 Apr,NHS Lanarkshire,Emergency Department,16,2,140,140
15724,2020 Apr,NHS Lanarkshire,Minor Injury Unit or Other,0,0,0,0
15725,2020 Apr,NHS Lanarkshire,Minor Injury Unit or Other,0,0,0,0
15726,2020 Apr,NHS Lanarkshire,Emergency Department,7,1,226,226
15727,2020 Apr,NHS Lanarkshire,Emergency Department,7,1,226,226
15728,2020 Apr,NHS Lanarkshire,Emergency Department,23,3,182,182
15729,2020 Apr,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
15730,2020 Apr,NHS Lothian,Minor Injury Unit or Other,4,0,116,116
15731,2020 Apr,NHS Lothian,Emergency Department,9,1,103,103
15732,2020 Apr,NHS Lothian,Emergency Department,11,0,288,288
15733,2020 Apr,NHS Lothian,Emergency Department,0,0,42,42
15734,2020 Apr,NHS Orkney,Emergency Department,0,0,3,3
15735,2020 Apr,NHS Shetland,Emergency Department,0,0,25,25
15736,2020 Apr,NHS Tayside,Emergency Department,0,0,46,46
15737,2020 Apr,NHS Tayside,Emergency Department,0,0,46,46
15738,2020 Apr,NHS Tayside,Emergency Department,1,1,24,24
15739,2020 Apr,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15740,2020 Apr,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15741,2020 Apr,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15742,2020 Apr,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15743,2020 Apr,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
15744,2020 Apr,NHS Western Isles,Emergency Department,1,0,6,6
15745,2020 Apr,NHS Western Isles,Minor Injury Unit or Other,0,0,0,0
15746,2020 May,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,5,NA
15747,2020 May,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
15748,2020 May,NHS Ayrshire and Arran,Emergency Department,0,0,62,62
15749,2020 May,NHS Ayrshire and Arran,Emergency Department,12,0,222,222
15750,2020 May,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,1,NA
15751,2020 May,NHS Borders,Emergency Department,12,3,148,148
15752,2020 May,NHS Dumfries and Galloway,Emergency Department,5,0,62,62
15753,2020 May,NHS Dumfries and Galloway,Emergency Department,0,0,91,91
15754,2020 May,NHS Fife,Emergency Department,3,0,172,172
15755,2020 May,NHS Fife,Minor Injury Unit or Other,0,0,2,2
15756,2020 May,NHS Fife,Minor Injury Unit or Other,0,0,0,0
15757,2020 May,NHS Fife,Minor Injury Unit or Other,0,0,0,0
15758,2020 May,NHS Forth Valley,Minor Injury Unit or Other,0,0,4,4
15759,2020 May,NHS Forth Valley,Emergency Department,0,0,94,94
15760,2020 May,NHS Grampian,Emergency Department,3,0,162,162
15761,2020 May,NHS Grampian,Emergency Department,1,0,15,15
15762,2020 May,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15763,2020 May,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15764,2020 May,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15765,2020 May,NHS Grampian,Emergency Department,2,0,83,83
15766,2020 May,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15767,2020 May,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,15,15
15768,2020 May,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,15,15
15769,2020 May,NHS Greater Glasgow and Clyde,Emergency Department,4,1,72,72
15770,2020 May,NHS Greater Glasgow and Clyde,Emergency Department,4,1,72,72
15771,2020 May,NHS Greater Glasgow and Clyde,Emergency Department,14,2,183,183
15772,2020 May,NHS Greater Glasgow and Clyde,Emergency Department,14,2,183,183
15773,2020 May,NHS Greater Glasgow and Clyde,Emergency Department,6,2,210,210
15774,2020 May,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,1,1
15775,2020 May,NHS Greater Glasgow and Clyde,Emergency Department,7,1,346,346
15776,2020 May,NHS Greater Glasgow and Clyde,Emergency Department,0,0,18,18
15777,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15778,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15779,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15780,2020 May,NHS Highland,Emergency Department,0,0,21,21
15781,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15782,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15783,2020 May,NHS Highland,Emergency Department,1,0,16,16
15784,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15785,2020 May,NHS Highland,Emergency Department,3,0,134,134
15786,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15787,2020 May,NHS Highland,Emergency Department,0,0,24,24
15788,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15789,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15790,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15791,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15792,2020 May,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15793,2020 May,NHS Lanarkshire,Emergency Department,18,0,196,196
15794,2020 May,NHS Lanarkshire,Emergency Department,20,3,275,275
15795,2020 May,NHS Lanarkshire,Emergency Department,20,3,275,275
15796,2020 May,NHS Lanarkshire,Emergency Department,29,2,290,290
15797,2020 May,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
15798,2020 May,NHS Lothian,Minor Injury Unit or Other,4,1,220,220
15799,2020 May,NHS Lothian,Emergency Department,1,0,141,141
15800,2020 May,NHS Lothian,Emergency Department,19,2,316,316
15801,2020 May,NHS Lothian,Emergency Department,0,0,46,46
15802,2020 May,NHS Orkney,Emergency Department,1,0,9,9
15803,2020 May,NHS Shetland,Emergency Department,0,0,4,4
15804,2020 May,NHS Tayside,Emergency Department,2,0,80,80
15805,2020 May,NHS Tayside,Emergency Department,2,0,80,80
15806,2020 May,NHS Tayside,Emergency Department,1,0,46,46
15807,2020 May,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15808,2020 May,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15809,2020 May,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15810,2020 May,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15811,2020 May,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
15812,2020 May,NHS Western Isles,Emergency Department,0,0,8,8
15813,2020 May,NHS Western Isles,Minor Injury Unit or Other,0,0,0,0
15814,2020 Jun,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,3,NA
15815,2020 Jun,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
15816,2020 Jun,NHS Ayrshire and Arran,Emergency Department,8,0,172,172
15817,2020 Jun,NHS Ayrshire and Arran,Emergency Department,6,0,114,114
15818,2020 Jun,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
15819,2020 Jun,NHS Borders,Emergency Department,35,8,252,252
15820,2020 Jun,NHS Dumfries and Galloway,Emergency Department,9,1,77,77
15821,2020 Jun,NHS Dumfries and Galloway,Emergency Department,1,0,91,91
15822,2020 Jun,NHS Fife,Emergency Department,2,0,183,183
15823,2020 Jun,NHS Fife,Minor Injury Unit or Other,0,0,0,0
15824,2020 Jun,NHS Fife,Minor Injury Unit or Other,0,0,0,0
15825,2020 Jun,NHS Fife,Minor Injury Unit or Other,0,0,1,1
15826,2020 Jun,NHS Forth Valley,Minor Injury Unit or Other,0,0,8,8
15827,2020 Jun,NHS Forth Valley,Emergency Department,6,0,155,155
15828,2020 Jun,NHS Grampian,Emergency Department,5,1,209,209
15829,2020 Jun,NHS Grampian,Emergency Department,0,0,12,12
15830,2020 Jun,NHS Grampian,Minor Injury Unit or Other,NA,NA,2,NA
15831,2020 Jun,NHS Grampian,Minor Injury Unit or Other,NA,NA,0,NA
15832,2020 Jun,NHS Grampian,Minor Injury Unit or Other,NA,NA,1,NA
15833,2020 Jun,NHS Grampian,Emergency Department,4,0,73,73
15834,2020 Jun,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,2,0,23,23
15835,2020 Jun,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,2,0,23,23
15836,2020 Jun,NHS Greater Glasgow and Clyde,Emergency Department,3,0,78,78
15837,2020 Jun,NHS Greater Glasgow and Clyde,Emergency Department,3,0,78,78
15838,2020 Jun,NHS Greater Glasgow and Clyde,Emergency Department,10,0,178,178
15839,2020 Jun,NHS Greater Glasgow and Clyde,Emergency Department,10,0,178,178
15840,2020 Jun,NHS Greater Glasgow and Clyde,Emergency Department,5,0,240,240
15841,2020 Jun,NHS Greater Glasgow and Clyde,Minor Injury Unit or Other,0,0,2,2
15842,2020 Jun,NHS Greater Glasgow and Clyde,Emergency Department,4,0,298,298
15843,2020 Jun,NHS Greater Glasgow and Clyde,Emergency Department,0,0,39,39
15844,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,3,NA
15845,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15846,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15847,2020 Jun,NHS Highland,Emergency Department,2,0,27,27
15848,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15849,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15850,2020 Jun,NHS Highland,Emergency Department,0,0,22,22
15851,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15852,2020 Jun,NHS Highland,Emergency Department,1,0,109,109
15853,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15854,2020 Jun,NHS Highland,Emergency Department,2,0,26,26
15855,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15856,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15857,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15858,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,0,NA
15859,2020 Jun,NHS Highland,Minor Injury Unit or Other,NA,NA,1,NA
15860,2020 Jun,NHS Lanarkshire,Emergency Department,17,0,287,287
15861,2020 Jun,NHS Lanarkshire,Emergency Department,10,2,267,267
15862,2020 Jun,NHS Lanarkshire,Emergency Department,10,2,267,267
15863,2020 Jun,NHS Lanarkshire,Emergency Department,59,7,457,457
15864,2020 Jun,NHS Lothian,Minor Injury Unit or Other,NA,NA,0,NA
15865,2020 Jun,NHS Lothian,Minor Injury Unit or Other,6,0,185,185
15866,2020 Jun,NHS Lothian,Emergency Department,7,1,192,192
15867,2020 Jun,NHS Lothian,Emergency Department,36,2,478,478
15868,2020 Jun,NHS Lothian,Emergency Department,1,0,60,60
15869,2020 Jun,NHS Orkney,Emergency Department,0,0,5,5
15870,2020 Jun,NHS Shetland,Emergency Department,0,0,9,9
15871,2020 Jun,NHS Tayside,Emergency Department,1,0,66,66
15872,2020 Jun,NHS Tayside,Emergency Department,1,0,66,66
15873,2020 Jun,NHS Tayside,Emergency Department,1,0,43,43
15874,2020 Jun,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
15875,2020 Jun,NHS Tayside,Minor Injury Unit or Other,0,0,1,1
15876,2020 Jun,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15877,2020 Jun,NHS Tayside,Minor Injury Unit or Other,0,0,0,0
15878,2020 Jun,NHS Western Isles,Minor Injury Unit or Other,NA,NA,0,NA
15879,2020 Jun,NHS Western Isles,Emergency Department,0,0,6,6
15880,2020 Jun,NHS Western Isles,Minor Injury Unit or Other,0,0,0,0
15881,2020 Jul,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,2,NA
15882,2020 Jul,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
15883,2020 Jul,NHS Ayrshire and Arran,Emergency Department,11,0,214,214
15884,2020 Jul,NHS Ayrshire and Arran,Emergency Department,13,1,170,170
15885,2020 Jul,NHS Ayrshire and Arran,Minor Injury Unit or Other,NA,NA,0,NA
15886,2020 Jul,NHS Borders,Emergency Department,16,5,212,212
15887,2020 Jul,NHS Dumfries and Galloway,Emergency Department,7,0,66,66
15888,2020 Jul,NHS Dumfries and Galloway,Emergency Department,4,0,100,100
15889,2020 Jul,NHS Fife,Emergency Department,7,0,248,248
15890,2020 Jul,NHS Fife,Minor Injury Unit or Other,0,0,0,0
15891,2020 Jul,NHS Fife,Minor Injury Unit or Other,0,0,0,0
